"FractionID"	"TribalFraction"	"NameVariants"	"Tribe"	"TribeID"	"Makhzen"	"Marabout"	"Berber"	"Urbain1843"	"PopStats1844"	"Pop1845"	"Map1852"	"Silos1853"	"Silos1854"	"NomPop1855"	"NomPop1856"	"Pop1872"	"NomPop1872"	"Accardo1879"	"Silos1884"	"Longitude"	"Latitude"	"LocQual"	"Sources"	"DocComments"	"OtherComments"
122	"Beni Rached"	"Beni Rached/Rachet"	"Gherib"	27	0	0	0				"yes"	"yes"	"no"	"yes"		"yes"	"check"		"no"	2.481665	36.110251	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
124	"Ouled Dilmi"	"Ouled Dilmi/Delmi/Silmi/Statmia"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.647108	36.259247	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
125	"Ouled Djouza"	"Ouled Djouza/Djouta/Djouda/Djouça/Rahman"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.579685	36.280153	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
126	"Ouled Moussa"	"Ouled Moussa/Belal"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.555558	36.230662	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
127	"Ouled Turci"	"Ouled Turci/Turki/Teurki"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.108403	36.21853	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
128	"Ouled Megebeul"	"Ouled Megubuel/Megben/Magebeul/Mangbel/Mengakbel"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.028105	36.277074	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
129	"Merabetin"	"Ouled Sy Mahmed bel Hadj Ahl el Ardh/Merabetin/Merabetine"	"Beni Bou Yacoub"	29	0	1	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.066036	36.226445	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Marabouts of the tribe"	
130	"Ouled Ali"	"Ouled Ali/Aly"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.037666	36.305175	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
131	"Ferna"	"Ferna/Fourna/Sourma"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	2.978447	36.280859	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Said to be on NE slopes of Kef-er-R’mel (Accardo 1879)"	
132	"Si Bou Narré"	"Si Bou Narré/Si Bou Harri/Narri"	"Beni Bou Yacoub"	29	0	0	1	"no"		"yes"		"yes"	"no"	"yes"					"no"	2.988375	36.308769	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
133	"Ouled Bedarna"	"Ouled Bedarna/El Bedahrn/El Bedarna/Bedrna"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.003503	36.333404	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
134	"Ouled Ameur"	"Ouled Ameur/Amer/Amena"	"Beni Bou Yacoub"	29	0	0	1	"no"		"yes"		"yes"	"no"	"yes"					"no"	3.04467	36.328021	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
135	"Ouled Medala"	"Medala/Madala/Madela/Medelha"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.029822	36.245717	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
55	"Ouled Sidi Nadji"	"Ouled Sidi Nadji"	"Ouled Sidi Nadji"	30	0	1	0	"yes"		"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"			"no"	2.979601	36.136407	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		"A fraction of marabouts"
